PAC,long,lat
3864859938470186,-38.470185999584146,-3.864859899564692
3866391738468998,-38.4693370000025,-3.866221299573283
3875512238463263,-38.46325400007203,-3.8755148998926643
3875514938463254,-38.46318799972636,-3.875533600395272
3875514938463254,-38.46325400007203,-3.8755148998926643
3875512238463263,-38.463198000187504,-3.8758037000806667
3875438838463314,-38.46329700025632,-3.8754415997499905
3875453838463216,-38.46329700025632,-3.8754415997499905
3875438838463314,-38.4632629995877,-3.8755122001279005
3875945738462983,-38.463061000165,-3.8759946998954433
3875994738463061,-38.46306899963457,-3.8760022002413166
3860416738465012,-38.46531199964903,-3.8603093003338813
3860416738465012,-38.465012000203615,-3.8604167000706298
3860169738469564,-38.469563999678826,-3.86016970037133
3860115238469472,-38.46947199993281,-3.8601151996567182
3860082638469548,-38.4695479998403,-3.8600826001318183
3886530538450347,-38.45034700021387,-3.8865304995828183
3876205638461632,-38.461995999615624,-3.8762916002770567
3871001638465528,-38.465825999969866,-3.871229499941421
3866656238468470,-38.46854500035147,-3.866523399834989
3866656238468470,-38.46846999959075,-3.866656200023556
3878995038460977,-38.46097700028827,-3.8789950001191187
3877840938462076,-38.462075999707565,-3.8778409001373575
3878602238461628,-38.46162799973234,-3.8786021996317572
3860082638469548F,-38.4695479998403,-3.8600826001318183
3858938738469134F,-38.46913399963432,-3.858938700260751
3858938738469134,-38.46913399963432,-3.858938700260751
3871862338465744,-38.46574399978573,-3.8718622998052297
3871897438465872,-38.46575000006243,-3.8718640004232157
3871826438465483,-38.465478000109556,-3.8717963003589375
3871826438465483,-38.46548300034016,-3.8718263997685085
3866523438468545,-38.46854500035147,-3.866523399834989
3879688038459286,-38.459285999649126,-3.879687999701389
3880077138459732,-38.459732000431416,-3.8800771003778323
3879523938459853,-38.459852999716134,-3.879523900407605
3877362238462348,-38.46234799966044,-3.877362200005507
3866656238468470,-38.46846999959075,-3.866656200023556
3866656238468470,-38.46846999959075,-3.866656200023556
3866656138468490,-38.468754000096965,-3.8667054999588117
3866656138468490,-38.46848999961372,-3.8666561001988384
3883714738451073,-38.4510730004186,-3.8837146997735204
3883367338451115,-38.45118300009534,-3.883628099557086
3883367338451115,-38.45111499965748,-3.883367299761005
3881979938456034,-38.456127999707405,-3.88235999971414
3880370938457661,-38.45607499996123,-3.880672099937442
3880370938457661,-38.4569459996581,-3.880489899988845
3880370938457661,-38.457661000254916,-3.880370899897059
3880672138456075,-38.45581100037731,-3.8810545995900725
3880672138456075,-38.45607499996123,-3.880672099937442
3887826238454159,-38.45415899973801,-3.887826199619383
3882549038454942,-38.45494199987337,-3.8825490003360414
3880370938457661,-38.457661000254916,-3.880370899897059
3880077138459732,-38.45951600036307,-3.8800938997136427
3887784838454170,-38.452616999674774,-3.8875868000907303
3887784838454170,-38.45362999962475,-3.8875143003446624
3887784838454170,-38.45401100010753,-3.88756909963422
3887784838454170,-38.454170000245256,-3.887784800228303
3880168238459021,-38.459021000019106,-3.880168199902471
3878995038460977,-38.46097700028827,-3.8789950001191187
3874111138464172,-38.46417200013764,-3.874111100446896
3874111138464172,-38.46417100009154,-3.874113300188583
3862818238465997,-38.46598500010765,-3.862810400379601
3862719638465859,-38.46598500010765,-3.862810400379601
3862818238465997,-38.46707900019567,-3.862541700039401
3862818238465997,-38.466824000127474,-3.8626222001543624
3862818238465997,-38.46606900038404,-3.86280049974323
3862818238465997,-38.46599699976167,-3.86281820019974
3858050538471601,-38.4716139997862,-3.858045999922922
3866472938469490F,-38.46947099988671,-3.8664750999458306
3882433138455747,-38.455288999687525,-3.882470500313275
